LV;1. Semester;1.1 Laufendes Berfuspraktikum im Unternehmen;1.2 Buchhaltung und Bilanzierung;1.3 Grundlagen des Managements;1.4 Grundlagen der Informatik;1.5 Web Grundlagen;1.6 Kommunikation 1;1.7 Mathematik 1;1.8 Programmieren 1;1.9 Grundlagen der Wirtschaftsinformatik;1. 10 Projektmanagement;2. Semester;2.1 Algorithmen und Datenstrukturen - Übung;2.2 Algorithmen und Datenstrukturen - Vorlesung;2.3 Laufendes Berufspraktikum im Unternehmen;2.4 Seminar zum Berufspraktikum;2.5 Kostenrechnung;2.6 Betriebssysteme;2.7 Netzwerktechnik 1;2.8 Selbstorganisation und Zeitmanagement;2.9 Mathematik 2;2.10 Programmieren 2;2.11 IT-Projektmanagement;3. Semester;3.1 Laufendes Berufspraktikum im Unternehmen;3.2 Datenbanken 1;3.3 Netzwerktechnik 2;3.4 General English;3.5 Präsentationstechniken;3.6 Begleitendes Projekt 1;3.7 Digitale Geschäftsmodelle 1;3.8 Prozessmanagement 1;3.9 Software Engineering;3.10 Wirtschaftsstatistik;3.11 Controlling;4. Semester;4.1 Laufendes Berufspraktikum im Unternehmen;4.2 Datenbanken 2;4.3 Markup Languages;4.4 Informationssysteme 1;4.5 Digitale Geschäftsmodelle 2;4.6 Business English 1;4.7 Prozessmanagement 2;4.8 Requirements Engineering;4.9 Begleitendes Projekt 2;4.10 Marketing;4.11 Wissenschaftliches Arbeiten;5. Semester;5.1 Laufendes Berufspraktikum im Unternehmen;5.2 Teamtraining;5.3 Business English 2;5.4 Informationssysteme 2;5.5 Qualitätsmanagement;5.6 Kryptographie;5.7 Identity Management;5.8 Servicebasierte Systeme;5.9 Dienstleistungsmanagement (W2);5. 10 IT-Infrastructure Management (W1);5.11 Software Design (T1);5.12 Webentwicklung (T2);5.13 Bachelorarbeit 1;6. Semester;6.1 Seminar zum Berufspraktikum;6.2 Laufendes Berufspraktikum im Unternehmen;6.3 Professional Meetings in English;6.4 IT-Service Management;6.5 Fallstudien der Wirtschaftsinformatik;6.6 Grundlagen Mobile Computing;6.7 Wirtschafts- und IT-Recht;6.8 Supply Chain Management (W1);6.9 Sicherheit von Webapplikationen (T2);6.10 IT-Sales (W2);6.11 Cloud Computing (T1);6.12 Bachelorarbeit 2
1.1 Laufendes Berfuspraktikum im Unternehmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2 Buchhaltung und Bilanzierung;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3 Grundlagen des Managements;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.4 Grundlagen der Informatik;;;;;;;;x;x;;;;;;;;;x;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5 Web Grundlagen;;;;;;;;;x;;;;;;;;;x;x;;;x;;;;x;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6 Kommunikation 1;;;;;;;;;;;x;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
1.7 Mathematik 1;;;;;x;;;;x;;;;;;;;;;x;;x;x;;;;;x;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.8 Programmieren 1;;;;;x;x;;x;;;;;x;x;;;;;;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.9 Grundlagen der Wirtschaftsinformatik;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;x;;x;;;;;;;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. 10 Projektmanagement;;;x;;;;x;;;x;;;;;;;;;;;;;x;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. Semester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1 Algorithmen und Datenstrukturen - Übung;;;;;;;;;x;;;;;x;;;;x;;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
2.2 Algorithmen und Datenstrukturen - Vorlesung;;;;;;;;;x;;;;x;;;;;x;;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
2.3 Laufendes Berufspraktikum im Unternehmen;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.4 Seminar zum Berufspraktikum;;;;;;;;;;;;;;;x;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;;;;;
2.5 Kostenrechnung;;;x;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.6 Betriebssysteme;;;;;x;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.7 Netzwerktechnik 1;;;;;x;x;;x;;;;;;;;;;;;;;;;;;;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.8 Selbstorganisation und Zeitmanagement;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.9 Mathematik 2;;;;;;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.10 Programmieren 2;;;;;x;x;;x;x;;;;x;x;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.11 IT-Projektmanagement;;;;;;;;;;;x;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Semester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1 Laufendes Berufspraktikum im Unternehmen;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2 Datenbanken 1;;;;;;x;;x;x;;;;x;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.3 Netzwerktechnik 2;;;;;;x;;x;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.4 General English;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
3.5 Präsentationstechniken;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x
3.6 Begleitendes Projekt 1;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.7 Digitale Geschäftsmodelle 1;;;;;;x;;;x;x;;;;;;;;;x;;;x;;;;x;;;;;;x;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.8 Prozessmanagement 1;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.9 Software Engineering;;;;;;;;;;x;x;;;;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.10 Wirtschaftsstatistik;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.11 Controlling;;;x;x;;;;;;;;;;;;;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4. Semester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.1 Laufendes Berufspraktikum im Unternehmen;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.2 Datenbanken 2;;;;;;;;x;x;;;;x;x;;;;;;;;;;;;x;;;;;;;;;;;;;;x;x;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
4.3 Markup Languages;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.4 Informationssysteme 1;;;;;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;x;;;;;;x;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.5 Digitale Geschäftsmodelle 2;;;;;;x;;;x;x;;;;;;;;;x;;;x;;;;x;;;;;x;x;x;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.6 Business English 1;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.7 Prozessmanagement 2;;;;x;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.8 Requirements Engineering;;;;;;;;;;x;x;;;;;;;;;;;;x;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.9 Begleitendes Projekt 2;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;x;x;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.10 Marketing;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.11 Wissenschaftliches Arbeiten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x
5. Semester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.1 Laufendes Berufspraktikum im Unternehmen;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.2 Teamtraining;;;;;;;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.3 Business English 2;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.4 Informationssysteme 2;;;;;;;;x;;;;;x;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.5 Qualitätsmanagement;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
5.6 Kryptographie;;;;;;;;x;x;;;;x;x;;;;;x;;;x;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.7 Identity Management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
5.8 Servicebasierte Systeme;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.9 Dienstleistungsmanagement (W2);;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
5. 10 IT-Infrastructure Management (W1);;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.11 Software Design (T1);;;;;;;;;x;;;;;;;;;;;;;x;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.12 Webentwicklung (T2);;;;;;x;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.13 Bachelorarbeit 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6. Semester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.1 Seminar zum Berufspraktikum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.2 Laufendes Berufspraktikum im Unternehmen;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.3 Professional Meetings in English;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
6.4 IT-Service Management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
6.5 Fallstudien der Wirtschaftsinformatik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;
6.6 Grundlagen Mobile Computing;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.7 Wirtschafts- und IT-Recht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;;
6.8 Supply Chain Management (W1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.9 Sicherheit von Webapplikationen (T2);;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;
6.10 IT-Sales (W2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.11 Cloud Computing (T1);;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.12 Bachelorarbeit 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;
